# Mutation runner report, merged from 4 control(s) and 48 mutation(s); generated 2026-09-24 06:49:38 UTC by `python tools/mutation_catalog/run_mutations.py --report`
# head(s) measured: b104f18c2e7e1d0f0c59e99cb32a077e7896dd28

| name | status | ignition (targeted / full) | targeted bare RC | full bare RC | killers (targeted / full) | killer tests | log |
| S1 | killed | line_hits 36 / 71 | 1 | 1 | 10 / 10 | test_a_gate_that_finally_answers_clears_the_deferral; test_pole_a_a_ceiling_far_past_the_window_spends_one_implement_cycle; test_pole_b_a_zero_ceiling_is_clamped_and_cannot_charge_the_absence; test_pole_c_a_tiny_ceiling_ends_the_run_naming_the_absence (+6) | `S1.txt` |
| SCHEDROWRETRY | killed | line_hits 127 / 129 | 1 | 1 | 7 / 9 | test_a_gate_that_finally_answers_clears_the_deferral; test_pole_a_a_ceiling_far_past_the_window_spends_one_implement_cycle; test_pole_b_a_zero_ceiling_is_clamped_and_cannot_charge_the_absence; test_pole_c_a_tiny_ceiling_ends_the_run_naming_the_absence (+5) | `SCHEDROWRETRY.txt` |
| SCHEDROWSTATUS | killed | line_hits 127 / 129 | 1 | 1 | 7 / 9 | test_a_gate_that_finally_answers_clears_the_deferral; test_pole_a_a_ceiling_far_past_the_window_spends_one_implement_cycle; test_pole_b_a_zero_ceiling_is_clamped_and_cannot_charge_the_absence; test_pole_c_a_tiny_ceiling_ends_the_run_naming_the_absence (+5) | `SCHEDROWSTATUS.txt` |
| TAILONLY2 | killed | line_hits 1 / 45 | 1 | 1 | 1 / 1 | test_a_declaration_survives_output_far_past_the_retention_bound | `TAILONLY2.txt` |
| TERMREASONCYCLE | killed | line_hits 2 / 3 | 1 | 1 | 1 / 2 | test_pole_c_a_tiny_ceiling_ends_the_run_naming_the_absence; test_an_expired_absence_names_the_absence_and_never_the_code | `TERMREASONCYCLE.txt` |
| TICK_HOLD_INERT | killed | line_hits 153 / 192 | 1 | 1 | 2 / 5 | test_pole_c_a_tiny_ceiling_inside_the_window_is_honoured_and_uncharged; test_the_tick_hold_alone_keeps_the_rows_where_the_absence_left_them; test_a_timed_out_command_keeps_the_loop_responsive; test_during_a_deferral_hold_the_step_claim_is_held_not_released (+1) | `TICK_HOLD_INERT.txt` |
| TIMEOUT60 | killed | line_hits 1 / 13 | 1 | 1 | 2 / 2 | test_the_budget_goes_red_and_names_the_number_that_moved[3-gate; test_the_budget_goes_red_and_names_the_number_that_moved[4-gate | `TIMEOUT60.txt` |
| TIMEOUTBIG | killed | line_hits 1 / 13 | 1 | 1 | 1 / 13 | test_four_real_reds_still_exhaust_the_cycle_limit; test_pole_a_a_ceiling_far_past_the_window_spends_one_implement_cycle; test_one_step_holds_the_scheduler_for_at_most_one_gate_run; test_real_repo_gate_a_then_a_plus_b_exposes_b_and_keeps_detail_stable (+9) | `TIMEOUTBIG.txt` |
| TIMEOUT_NOT_UNMEASURED | killed | line_hits 1 / 43 | 1 | 1 | 1 / 2 | test_a_killed_gate_is_unmeasured_and_its_returncode_is_not_why; test_a_runner_that_cannot_start_is_unmeasured | `TIMEOUT_NOT_UNMEASURED.txt` |
| VALVEBYPASS | killed | line_hits 10 / 45 | 1 | 1 | 2 / 2 | test_the_valve_is_a_simple_bound_and_the_deferral_path_cannot_reach_it; test_the_valve_fires_on_excess_claims_regardless_of_episode | `VALVEBYPASS.txt` |
| VALVEOFF | killed | line_hits 5 / 40 | 1 | 1 | 4 / 5 | test_the_valve_is_a_simple_bound_and_the_deferral_path_cannot_reach_it; test_the_episode_ceiling_ends_the_run_before_the_valve_is_needed; test_the_valve_fires_on_excess_claims_regardless_of_episode; test_the_valve_is_narrow_not_blanket (+1) | `VALVEOFF.txt` |
| VALVEREACH | killed | line_hits 115 / 115 | 1 | 1 | 3 / 3 | test_the_tick_hold_alone_keeps_the_rows_where_the_absence_left_them; test_during_a_deferral_hold_the_step_claim_is_held_not_released; test_the_tick_refuses_to_claim_while_the_gate_is_silent | `VALVEREACH.txt` |
| WAITCLAMP | killed | line_hits 1 / 181 | 1 | 1 | 1 / 1 | test_the_wait_cannot_be_widened_until_the_ceiling_disappears | `WAITCLAMP.txt` |

# killed: 48 of 48
# not killed: none
